epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2532.95,0.72886,0.37507,0.96999,0.98728,0.97605,0.98977,0.73551,1.07657,0.40385,1.1125,0.0086536,0.0086536,0.0086536
70,2571.24,0.73353,0.38723,0.97651,0.98951,0.9717,0.99059,0.72298,1.09351,0.40989,1.12468,0.0086338,0.0086338,0.0086338
71,2609.97,0.71306,0.37156,0.96841,0.99314,0.96855,0.99211,0.74781,1.07045,0.40556,1.11483,0.008614,0.008614,0.008614
72,2647.75,0.70755,0.37363,0.96369,0.98648,0.97799,0.98856,0.72526,1.06441,0.40007,1.11663,0.0085942,0.0085942,0.0085942
73,2685.34,0.73676,0.37904,0.97867,0.99204,0.97484,0.99108,0.73878,1.03855,0.39959,1.1055,0.0085744,0.0085744,0.0085744
74,2723.34,0.7401,0.37363,0.97595,0.99358,0.97399,0.99029,0.73849,1.04599,0.38888,1.10272,0.0085546,0.0085546,0.0085546
75,2760.34,0.71942,0.37108,0.97088,0.98181,0.97799,0.99242,0.7401,1.08609,0.39669,1.12268,0.0085348,0.0085348,0.0085348
76,2799.35,0.72673,0.38592,0.97651,0.98417,0.97758,0.99005,0.74495,1.05167,0.40139,1.10929,0.008515,0.008515,0.008515
77,2837.03,0.71899,0.37237,0.97693,0.9912,0.9717,0.99065,0.74442,1.05602,0.39915,1.11301,0.0084952,0.0084952,0.0084952
78,2874.27,0.71966,0.37706,0.97027,0.99359,0.9746,0.99283,0.7412,1.06819,0.38735,1.11265,0.0084754,0.0084754,0.0084754
79,2914.83,0.7175,0.37573,0.97376,0.9896,0.98113,0.99026,0.74189,1.07211,0.38979,1.11188,0.0084556,0.0084556,0.0084556
80,2952.83,0.71803,0.36761,0.96979,0.99214,0.97484,0.98954,0.74299,1.08014,0.38772,1.1106,0.0084358,0.0084358,0.0084358
81,2990.08,0.69017,0.36353,0.95843,0.99358,0.97392,0.99037,0.73728,1.06548,0.39745,1.10194,0.008416,0.008416,0.008416
82,3027.3,0.72517,0.37085,0.97162,0.99041,0.97397,0.99073,0.73891,1.08102,0.39563,1.11781,0.0083962,0.0083962,0.0083962
83,3064.9,0.70393,0.359,0.9629,0.98321,0.97484,0.98747,0.73859,1.08889,0.3988,1.11893,0.0083764,0.0083764,0.0083764
84,3102.17,0.70101,0.36181,0.95873,0.98726,0.97446,0.98459,0.73431,1.04423,0.40947,1.09438,0.0083566,0.0083566,0.0083566
85,3139.01,0.71526,0.37019,0.96834,0.98964,0.97799,0.99093,0.75306,1.05259,0.39031,1.10087,0.0083368,0.0083368,0.0083368
86,3176.08,0.70442,0.36899,0.96815,0.99041,0.97465,0.99031,0.7385,1.08619,0.39406,1.11057,0.008317,0.008317,0.008317
87,3213.85,0.70342,0.36123,0.96522,0.99299,0.97484,0.99042,0.73841,1.06001,0.37808,1.11027,0.0082972,0.0082972,0.0082972
88,3251.09,0.70499,0.36294,0.96251,0.98972,0.97484,0.99153,0.74578,1.0812,0.38665,1.12657,0.0082774,0.0082774,0.0082774
89,3287.83,0.6864,0.35112,0.96547,0.99254,0.97484,0.98968,0.73965,1.05489,0.37896,1.09869,0.0082576,0.0082576,0.0082576
90,3325.01,0.69521,0.35517,0.962,0.9924,0.96855,0.99058,0.74581,1.07617,0.39259,1.09855,0.0082378,0.0082378,0.0082378
91,3362.24,0.69218,0.36191,0.9598,0.98685,0.97484,0.99094,0.74873,1.06212,0.38785,1.10856,0.008218,0.008218,0.008218
92,3399.17,0.69852,0.35888,0.96476,0.98889,0.9717,0.98906,0.73824,1.08667,0.38673,1.12219,0.0081982,0.0081982,0.0081982
